Address,Points,Tokens
0xD15311C44Dbe031Dfd3341Fe84c3247B130Df85C,50,"5,000"
0x31C3D7abF1102284e87918BAfc0E17e560C12a25,40,"4,000"
0xde22DE740609532FC0F48287b7F258776bE814FD,38,"3,800"
0x5523bc3B21f3f802ae995d7201Ce3b66C1e00bF6,37,"3,700"
0x461acd846B4cc249b96242F1AB7c72a39d94747c,36,"3,600"
0x0235545F679B133543607C66988d60D772c10D4F,35,"3,500"
0xb0627dA0868e8f275674FE9da9Cbf5a30962fe79,35,"3,500"
0x5221D2C90773060d4dCe5A9DD6f531271a705E95,35,"3,500"
0xe3D73DAaE939518c3853e0E8e532ae707cC1A436,35,"3,500"
0xEF384fB115F839dcE68afE789CBC5bfb54C66759,31,"3,100"
0x1eb322c016815EE5b29c071586C1B75Be5934576,30,"3,000"
0x08A5678b176FBDb6C8b917ebB4922B4979F5324c,30,"3,000"
0x87690be28b65F13394741C2C2BE5A6bdb0505039,29,"2,900"
0x57c9833cf9178Aa90d2DC80e6a2e71B6CfD06669,25,"2,500"
0xD76Daf84F23De8D54a9fc2cfFD75C1b0b05BFD46,25,"2,500"
0x6c39c89D58400D3dc32dDE7923D67665475Df29b,25,"2,500"
0xd69c127a84C41E256fc86A7bb4400DE5c3B39cEe,25,"2,500"
0xDAc68D2D92c4d683cA5b5e7D0EBF5C048b02632e,25,"2,500"
0x5643ea9C3c03308D2A39556594EEC7cd37dCC04A,25,"2,500"
0x9a749DAC5ff4EC0062553F9f2309323d459Dfa76,25,"2,500"
0x5525c7B00318d2352e1139fA2AdDBE933F8005eB,25,"2,500"
0x54443DD8ee1301B77e480879fBE173a66BE74CF2,25,"2,500"
0xd2e58a6EE0b0314a50211354611fF8bc58687cAE,25,"2,500"
0xAa1b1dFAF3F8Ddc9985da07d30b5eA55F5aC648E,25,"2,500"
0x30A85C8cE1A7159Bb1321e6BB5EcaD42Cc231a9a,25,"2,500"
0x9246CA6476ABD62FFC49091a302b0485CbE08Faa,25,"2,500"
0xdAD5d9C334119aeb4Ab4fe878bB1765339C582D8,25,"2,500"
0x02B41228Bf32e5AfC88a930049817f4e2D4555e1,25,"2,500"
0x770207ce32B609919347655d3137bfE9cE23DaB7,25,"2,500"
0x99B856c2644277b24a335122aBcEf34a7f0F0ABb,25,"2,500"
0x38920DAFf3cBb1F41D2f89C1dc94400D12f730dF,25,"2,500"
0x2eC7947F3ac9AAaa44b53640506CDc9d848D9489,25,"2,500"
0x530922B450B77e365C4249A65C784CcFE770dd6A,25,"2,500"
0xff6CC994776B77F3B309014DDB6fF09584FdE195,25,"2,500"
0x2C364a7feBD2772352F2A1374d8DF74211b87f81,25,"2,500"
0x8a244ca4d1f4EbBAc49333100e20E6B10f7477b3,25,"2,500"
0xed628E601012cC6Fd57Dc0cede2A527cdc86A221,25,"2,500"
0xA64fc17B157aaA50AC9a8341BAb72D4647d0f1A7,25,"2,500"
0x98d562c7A4781e3e6c0d16F67469b0A3b0CB25C7,25,"2,500"
0x91347d2dc5ffeB1f156d7c36814848Dd3fa74961,25,"2,500"
0x25B097EcA51cFE8C0A86A3904Cb95DB74A9491f4,25,"2,500"
0x12a0E25E62C1dBD32E505446062B26AECB65F028,25,"2,500"
0xd66bA17C1C5eA3a5fBa7FBaa179db221C98CD32E,25,"2,500"
0x257d6D1B48c5638C05160d7320B9b00D2b31E0e1,25,"2,500"
0xf7F5Cc0811f73267e9FB2F984f44f0Ec86c120D0,25,"2,500"
0xd9a54f1652907F911eb90797c85A8C899A49011C,25,"2,500"
0x9a0d2beCc2c0C5631EF39A013E078e2296Eff676,25,"2,500"
0x4638D377d925192B984B1171d849F69Fffa30B05,25,"2,500"
0x796511fF1B29744fA98B5FdFbe2fEDf811796F8c,25,"2,500"
0xcfE4BCf377402d69ce3A9630fB5e3F456Ed714F3,25,"2,500"
0x9dc73F264842da71EFCDa58982fE330E5e68397f,25,"2,500"
0x3398740eAaC7B640a0c34cF227f7d82D7c48781b,25,"2,500"
0x3d4Cc3ec309FD7b170b660c90962F52f74072404,25,"2,500"
0x82f67Db2331E31cAFE3Bf35A62bF7Cf9345CC138,25,"2,500"
0xb2fb91c03Db880C3ec1086E938C24608c6B56Cc6,25,"2,500"
0x93d7F75A77BBc8809c1C71a3Fd38D68b2657b37A,25,"2,500"
0x1B8831d64298835514C3DFdD64346767f3337d10,25,"2,500"
0x249A702a75ea30ec143639952b470Dd4af57652d,25,"2,500"
0xf3F72b98C64b9066D6Bd59A11A8a8569fDf289A5,25,"2,500"
0x646e05E88d6A8D03A0509585e3f71DC24C6bB542,25,"2,500"
0x872A40aa965849f90805B9E2cd1166015C21Ed2b,25,"2,500"
0xEe5b38b1A0d3C1538AAe0B3Df4eB114c82bfE31E,25,"2,500"
0x2906ecf1412710FC93fe99CbAA43C81A07Eaa511,25,"2,500"
0xe995ea7D16f8524c6799c09Ea0655B09C98A409a,25,"2,500"
0x4e506B377b4624F54704F5d779182D2A486F5984,25,"2,500"
0x5B6609a69D901AFEe23041009eA20943D1b1A3F0,25,"2,500"
0x4C3f47FD8Ea9461EcAd36d313b1bbE562302cC87,25,"2,500"
0xBB7aA9097c232b8Ac9A9bE51b7F87686EB5a6DdC,25,"2,500"
0xD943284eE36223E7F98Ec6973996764A91ca34b2,25,"2,500"
0x8B1Da02892c80176896EFFd0CFB3FFeeC85E99Ea,25,"2,500"
0x7D9D40D092188EA2f047004b87A2Ba00452EA986,25,"2,500"
0x0BF29cb14E1f50c281421467082ec62FAA58d857,25,"2,500"
0xe2Ca236d1E2CC5e8666c86B1Ac105e6Ef691F076,25,"2,500"
0xB578Be8F4B4B32F2C2a704b1C3170Aa77c8eDC55,25,"2,500"
0xc1C5e33b1F4e02CC6Fd2edbb665dEA48Fb92A7Ac,25,"2,500"
0x1c82A90557F00CdaF297083916f6709D09AD00A6,25,"2,500"
0x9AA93cD1D341D7C03eAe3A318363c121E22166e1,25,"2,500"
0x0F8D582d90520D4ED8bd59c23A81C30BeA49be4D,25,"2,500"
0xbf88FDBb1C25e97151d7a47dbFA123B950d7d4a7,25,"2,500"
0x828b01b5536aB2950620fD19E22C2c4c3C59F7f5,25,"2,500"
0xef7daB63269E60C51c30d2F55480efd30D74dc1c,25,"2,500"
0x3bCd5b4e71DCbDACeF08E1C7a2ce06761D74F6F0,25,"2,500"
0x4F8c3690C133fec59BE5EC63348936FAb2C98d7D,25,"2,500"
0x765351D0aA33485fD60457963bde99Ba065ed965,25,"2,500"
0x568b8B55e95F6F3BBDDC4F2bE93266D3466aF727,25,"2,500"
0xc4E08c5e46993909385A0620055268D14Ab41565,25,"2,500"
0x40127852C80405d84931b0a65EA97ADa515DC4EC,25,"2,500"
0x59c9b167F9ED5Ba8315f857223b74B58D6df2C61,25,"2,500"
0xA021BBd56ab72a5a4ed6bcf762f3Ff1832FFb78D,25,"2,500"
0x242ed6F1061b53a56aC7eb065EAF281F800F7E62,25,"2,500"
0x7EdA03dE6f19D46dbf133c6566c7b314791Bc018,25,"2,500"
0x467032833b7925fccBcCe9Ea2b71C3Da394E92a7,25,"2,500"
0x0C47E305cbd10374B634c12da28d0e368921e3d6,25,"2,500"
0x301daC7C7451B52C681f64AFe182840130C54866,25,"2,500"
0xf2965b1372D28a0cA016cFB2D20eDC6bf7516AB3,25,"2,500"
0x17f00E7cD7c6e0fa208BeBA1f441B99501a0e58a,25,"2,500"
0xF3cea300E2E3E5cb308b8b6d496170e3328ad058,25,"2,500"
0x44F9A23ea51153AAa77F8Ad1bb27E577c571c06e,25,"2,500"
0xb70a49448740711F2c784a9F828F6731A271Ae26,25,"2,500"
0x437E0d87F09DD086ba55e7d29a1838E156BA928f,25,"2,500"
0xD00AE74b8A2a0B3C17636cDCf4c4e72149F2EE20,25,"2,500"
0xF93357310634869FC4aD6Cf1F8bc074B47BF32b4,25,"2,500"
0x1A8DCB3775Aa442B8815E5AEAaE138CCa522631A,25,"2,500"
0xc9B8548afe06F6AEB914cd1db8269F7cB96BE59f,25,"2,500"
0xaB5f7a2c6f047a007924618E90ea16f400e13Ba8,25,"2,500"
0xcE81701Ac9a425F9dfeEd9A36F1628EBAcEC69C4,25,"2,500"
0xD30f3DBC93b694364092b346cC410cd24097eCAb,25,"2,500"
0xAc22F480d9d4dFAc9bE7645470B86532FB08C27E,25,"2,500"
0xaaF09b990CF619C7a351073E96d325844C8E3ED2,25,"2,500"
0x7E49BDf41C78fA3F4a7228d77519Cb5eeD3EEEDb,25,"2,500"
0xd7605C1e6878D70aaE81e70C991F23b1923b996d,25,"2,500"
0xcC1EEfC3C602042770460C4A4e01271F272461e7,25,"2,500"
0x3206262e70311dc2DA6412c74dd323AD9f5b88E4,25,"2,500"
0x9b780E3E1cA0D140Cf0601442F300cdDb6f49E37,25,"2,500"
0x5Fc4C31da65d8994F579312aa1279Fc6119aeE83,25,"2,500"
0x2588631e6FD91641a61EbA40EE16eE5a9aD95105,25,"2,500"
0x4146C4E0Ee5A5AcCD3577848E6acb0338E07dB5b,25,"2,500"
0x33B32Afd0AC903C00de3b9e41b3f664832385776,25,"2,500"
0xe064d0F5F813F33FA47156147746f175Cf4C62f9,25,"2,500"
0x162124fc68AFDAEBC302D640087ee393B31925b3,25,"2,500"
0x6256B4Bd302F86BA78F23396527e0aBf77A872b5,25,"2,500"
0x1Fe194248501Ff9788a861156cbf7498739011F4,25,"2,500"
0x1A6ec11dc846be0929892649D90c522bE4dc71Ee,25,"2,500"
0x33684f18392410a71cB382fAbE2145Bcb4D32d6C,25,"2,500"
0xC9f0970A72dc8A5832b48D2A0fb9C75043cdB474,25,"2,500"
0x50fcF5AD67bC769dc2CEBAB883e1b268872812F1,25,"2,500"
0x2598f2f35eF98769D5F057145b637A762bCe23dD,25,"2,500"
0x51F11619938D7bEFC8ACcDf74320B36fAaC61D23,25,"2,500"
0x42881a8477279e018EC7fE0A54236a9c63438118,25,"2,500"
0x15B19688C6134C3539ffB97690486919Bd84D60d,25,"2,500"
0x09bDf000caA941c5CB5ce64dfbEADBbfB38772b8,25,"2,500"
0xcE0504F10FB8A7577466e7c71A59CC4140e17015,25,"2,500"
0x0f633A9EFf16ac0F87C145A63201E7D914425Ff9,25,"2,500"
0x8AC29235A2A2430Fa269a9F3A5E46bd89241FAf7,25,"2,500"
0x551849D849d5CC0063D5Af71d583Fe63074ecdcC,25,"2,500"
0x7745b2c3aE7A13A9ED42c2aD57da992D1BaC1FF7,25,"2,500"
0x45d7A27c858344Ca0c4F8323ce16327367E9634C,25,"2,500"
0x9849ea994beF7898901968242a7D57cd483e4418,25,"2,500"
0xfB84575666C148AA2D27f16e11fd3616c3f0da5e,25,"2,500"
0x0Ea32241ba5E05F0470ecac11a6867737E9aB781,25,"2,500"
0x2383D210105cB29e5131C14B6a593f4e197516F9,25,"2,500"
0x1cD7eD3a06746bec03E69574fBB3260C349bB6F1,25,"2,500"
0xfbc384AE6E8524E3F6C3f98062747CB0C9D4D6c6,25,"2,500"
0xFC1d09Ae7Cde6Fa51f2a1f3d64CAa47E04ffB84c,25,"2,500"
0xa9f078B3b6DD6C04308f19DEF394b6D5a1B8b732,25,"2,500"
0x3671c31aD2e607e8045C9Cb990CEb4C791c3eeDD,25,"2,500"
0x7bD3b02a45CA09f4C81a0C45FeB2fcFE38DA692D,25,"2,500"
0xdf974829f6D977370B21e065ae445390cb9D010C,25,"2,500"
0xcBc3eBa17F70A9353306A197bb5499181bd10Ebb,25,"2,500"
0xDdE4cdd968C85207F6796542276aB3a0780c0797,25,"2,500"
0xF65115E7c6462921d83EaE660421bC3357949E4E,25,"2,500"
